,name,corr_score,ret_score,score,rank
0,我武生物,0.5933401202081496,0.7139846405429129,0.7028309707175144,12
1,博腾股份,0.7921819056404483,0.32018559691299364,0.4891301223235167,60
2,溢多利,0.4393983399533343,0.4700758070263573,0.42857672348713516,74
3,九强生物,0.4217698773406915,0.3722417790879637,0.34651862429620406,84
4,金石亚药,0.2037950701124177,0.7952794815283578,0.3778973415317355,80
5,广生堂,0.4744868186520992,0.2665788542859522,0.2977413448733792,96
6,美康生物,0.4808190163479474,0.5163502289403288,0.4904466229859903,59
7,山河药辅,0.6839342342909536,0.1371616056059782,0.2810943121877527,102
8,迈克生物,0.4090855857980758,0.7664337042249653,0.5646000791362384,35
9,万孚生物,0.5295084236601135,0.08788563086229159,0.1736886701423046,119
10,赛升药业,0.6175451673774269,0.8478916924689232,0.7884071961072096,3
11,富祥药业,0.3811634511916325,0.17011289869243312,0.1647844306340216,123
12,海顺新材,0.657995234663437,0.5283388543628474,0.6173925027802433,25
13,新光药业,0.005288143262581696,0.8344330141334173,0.1916032007473707,116
14,陇神戎发,0.3683833593705528,0.7352014281839384,0.5151220076861469,51
15,贝达药业,0.5750534370153685,0.3629591387347558,0.43423199315065697,71
16,兴齐眼药,0.8103585833798763,0.540376347438226,0.7027900152934239,13
17,赛托生物,0.15511245689946707,0.844953575155725,0.34100386826048723,87
18,海辰药业,0.19007136654820825,0.6621388427831029,0.3224268960131995,91
19,康泰生物,0.7064161686186217,0.5075807158671196,0.6267040751631772,22
20,普利制药,0.0,0.2736329577961201,-0.035964837687550544,131
21,同和药业,0.2278655877247429,0.2517154341040439,0.12476916795612847,126
22,凯普生物,0.6483506926181224,0.4296343270270573,0.5299446020752969,50
23,透景生命,0.7802562790206197,0.34063891405136704,0.5049860831801823,55
24,海特生物,0.7041188944436366,0.4008401222405749,0.5317648709159738,47
25,艾德生物,0.2270422762779313,0.25425062808274546,0.1259395881159282,125
26,天宇股份,0.3033559633073509,0.06376901599407846,0.033020407516855865,128
27,九典制药,0.2603707010952672,0.3944109744659111,0.24407658902732476,107
28,一品红,0.689243845093513,0.42726481127170507,0.548390466444896,42
29,中国医药,0.8771916473935552,0.7628024020071015,0.9328959154870342,1
30,华润双鹤,0.3824429892687641,0.9500902192671083,0.5804294651001347,29
31,人福医药,0.7752788047212232,0.20950873937296144,0.37818733963557927,79
32,ST金花,0.0153811628906769,0.8803110172911068,0.2081332211569915,113
33,同仁堂,0.3750600152909411,0.668917727831097,0.49277623383211844,58
34,太极集团,0.21580208092123104,0.2526695822393246,0.11673219857792438,127
35,天坛生物,0.5743938376510844,0.4842910988207685,0.5313474174245179,48
36,中牧股份,0.19735997522375665,0.0,-0.08227571503667197,132
37,复星医药,0.6421415107107713,0.5482062278246147,0.6236491425070724,23
38,生物股份,0.5491031936700214,0.7720661352306553,0.6947656220453082,15
39,西藏药业,0.6079244902492315,0.1481319072859975,0.26223539588523737,106
40,浙江医药,0.7784754516256404,0.12377985142652337,0.29621082419704237,97
41,太龙药业,0.46785938612661204,0.7091905792157612,0.59358120729119,27
42,圣济堂,0.16695856282935748,0.7501255907919632,0.33029013089398884,90
43,中恒集团,0.3331810486586597,0.6317811573975932,0.43826997570305737,69
44,海正药业,0.7837904256030876,0.164609361885725,0.3370839563956006,89
45,恒瑞医药,0.3732941062075116,0.8067179704595528,0.5441660116633813,44
46,羚锐制药,0.4838157859306984,0.6320033915772382,0.5660696831157244,34
47,安迪苏,0.5772870155499685,0.1848466047150061,0.2817618364131743,101
48,中新药业,0.29163396554839505,0.3205987090111562,0.21848660072212966,110
49,白云山,0.4977971118332951,0.906236363586635,0.689119035002832,17
50,亚宝药业,0.6175666367253487,0.6982621547814054,0.7128644905339767,11
51,健康元,0.6062343887468832,0.18332385832771855,0.29335162439771334,98
52,ST金泰,0.008761184980707654,0.920241227108638,0.20555751787547472,114
53,现代制药,0.6733099399767161,0.5983410392570851,0.682258446652101,18
54,昆药集团,0.4789355560764549,0.6330475409286945,0.5626913919145361,38
55,片仔癀,0.11588691908246855,0.1770261637931222,-0.007866662728363671,130
56,千金药业,0.4218293654577332,0.5392411864688004,0.4606895328120355,64
57,天药股份,0.4216114183599975,0.6933476555790693,0.5453481752027365,43
58,联环药业,0.6733058663462217,0.6688670397553489,0.7348354115754527,8
59,华海药业,0.7116365285816725,0.005456384944296738,0.1644950536590879,124
60,*ST交昂,0.3123305969798161,0.9169323480347884,0.507331650316582,54
61,天士力,0.18658723289856174,0.6180964873702031,0.30139517993580955,95
62,康缘药业,0.3845688270967709,0.8995890261762989,0.5764313251571497,30
63,济川药业,0.3706671096189634,0.6454283418412939,0.4776559353848304,62
64,*ST中珠,0.5323978443808453,0.8008167549921842,0.6917424461638334,16
65,康恩贝,0.16540624086755246,0.7999157164813572,0.3417573400873163,86
66,益佰制药,0.7435174626400649,0.2810069860780644,0.43662967961864063,70
67,神奇制药,0.5711717992203426,0.6653096217843825,0.6560227256088437,21
68,哈药股份,0.21780978011515748,0.7681787820259987,0.3841797886872086,78
69,*ST目药,0.3915418695391928,0.3890996124375072,0.33778159376648387,88
70,江中药业,0.7414150261350072,0.33218459693536306,0.48386900550308354,61
71,莱美药业,0.20167507442426266,0.5120449015300179,0.26435964980214943,105
72,安科生物,0.7374165940747508,0.6145121140525787,0.733576420750927,9
73,沪深300能源(一级行业)指数,0.36680638082897105,0.9365104354553022,0.5636313299941759,36
74,沪深300价值指数,0.3871835788888699,0.8797571574919927,0.5754983529582492,31
75,中证可选消费指数,0.5934356253125075,0.8347511891097211,0.7611358293666672,6
76,沪深300地产指数,0.3467572849251516,0.85122437036761,0.5300296776939492,49
77,全指可选,0.5879953385820836,0.7579831447825918,0.7221715797073014,10
78,寿仙谷,0.07996505563327777,0.9348634858371876,0.27766217450808184,103
79,大理药业,0.3874945114441415,0.1907147927098394,0.18505885872641392,117
80,正川股份,0.4905753019408412,0.6291938668899613,0.5699121399799192,32
81,方盛制药,0.007451087319787741,0.7380211034307157,0.17345906739656436,120
82,康惠制药,0.2705554125518177,0.4967220997198475,0.31378442178674826,93
83,莎普爱思,0.30934531779376057,0.6044624806711171,0.4041018788499071,77
84,济民制药,0.3427696103565325,0.948565452622344,0.5407600605736569,46
85,奥翔药业,0.7449501258717506,0.1938016906941029,0.35441963585917935,82
86,威尔药业,0.7416613564455276,0.6683216117316483,0.7795842438753559,5
87,辰欣药业,0.43000828524153706,0.7158928788202108,0.5631268484239891,37
88,基蛋生物,0.4924184260045534,0.5823858891457371,0.5427020463714407,45
89,九洲药业,0.7296988182247661,0.2669003316891333,0.41865637997959504,75
90,司太立,0.6974570307946498,0.1729997045608371,0.3193969470459166,92
91,美诺华,0.6393571727276639,0.029636942296703918,0.16478615126232277,122
92,普莱柯,0.6203779075242193,0.34571400000743396,0.443558923060122,68
93,珍宝岛,0.03682204056409244,0.928271064515204,0.23415486659149076,109
94,康辰药业,0.7541118275819505,0.2934251835309786,0.45186300412068925,66
95,安图生物,0.6349023649845729,0.8375644733020939,0.8003982189385485,2
96,灵康药业,0.7064945234364194,0.7090712869538365,0.7867386046973277,4
97,卫信康,0.6306797190330148,0.3243912466544157,0.43003593750701086,72
98,健友股份,0.5238664709200853,0.4862105222641984,0.49951248052080055,56
99,海利生物,0.4917110881706995,0.11937890523858813,0.18321529789861501,118
100,诚意药业,0.7420258931827922,0.4117475974836096,0.5576671199024281,39
101,步长制药,0.68817712869812,0.3704810891971289,0.49748483139124877,57
102,南卫股份,0.7667611407950443,0.5093948194128303,0.6567746244308919,20
103,北陆药业,0.0243055264597977,0.3067758158949799,0.0031125887849918765,129
104,红日药业,0.6685924856529893,0.4458489821688984,0.5543109950379286,40
105,上海凯宝,0.6293032671226567,0.4151542617857416,0.5075690610080184,53
106,康芝药业,0.681072470001344,0.5664083062616834,0.6617467823877818,19
107,吉药控股,0.3253325086516289,0.852459016393442,0.5093882670227105,52
