,name,corr_score,ret_score,score,rank
0,澄天伟业,0.43160436549935416,0.4671191427112298,0.42087510283382257,54
1,必创科技,0.3531700704548893,0.7715323517866707,0.5140069796014958,31
2,飞利信,0.18486013449077865,0.7077409705185224,0.3340506131096074,84
3,英唐智控,0.6085746174580171,0.5040661191356893,0.5682055363591146,20
4,特发信息,0.6156077450253361,0.2949544813520628,0.3969765949550126,65
5,歌尔股份,0.104425886390804,0.3748715349909666,0.10782849756485247,126
6,移为通信,0.16154434464407474,0.1445309736453687,0.0021539577013767186,131
7,民德电子,0.14215662983476912,0.9043081118962426,0.33683594538158435,83
8,长盈精密,0.3956958039447187,0.4940290028308783,0.411843790009661,59
9,和而泰,0.4803711411868566,0.5511925320988925,0.5133834445957093,32
10,国民技术,0.35421965690778484,0.023967515946898013,0.029670276609549795,130
11,东软载波,0.3841897876131545,0.4485198713703736,0.373348592238977,74
12,*ST晨鑫,0.6723488568979173,0.6077016441338552,0.6888705921281951,8
13,万盛股份,0.5944654609511092,0.6866035844697642,0.6874811460748038,9
14,安控科技,0.6095868327080808,0.5561695759562758,0.6088926607613976,17
15,润欣科技,0.20823581971951574,0.410667825312312,0.2129828120557642,113
16,东土科技,0.4321500708469453,0.4891410516530945,0.4361738370903785,49
17,兆日科技,0.3018136078671176,0.4280029334468685,0.29742319866677347,94
18,澳洋顺昌,0.1135735962065744,0.9944889105694948,0.3135564646020276,88
19,力源信息,0.4534043954084728,0.4520475510211733,0.42603705431030414,52
20,联创光电,0.4745700344325447,0.5445471496655322,0.5046483281144652,34
21,经纬辉开,0.3883763869220302,0.27631936286930864,0.2524784389617123,102
22,三川智慧,0.4347803307892971,0.37712355024179856,0.35890051353835806,78
23,富瀚微,0.6404979509534723,0.03882439397777453,0.17379326211486767,118
24,苏试试验,0.7028927004082459,0.13431576352754127,0.28475033747746825,96
25,景嘉微,0.3605953461766134,0.17871667067954228,0.15916157913406148,119
26,博创科技,0.6911371834090178,0.2507055247713413,0.3895442948064922,71
27,水晶光电,0.3318699019259209,0.12089915927720032,0.09581880286249578,128
28,太极实业,0.4075139048014239,0.4863888011765677,0.4158850616392392,58
29,睿创微纳,0.6914113819486191,0.6790311990266935,0.7547496138248692,5
30,鼎龙股份,0.7511165872811835,0.1267108043669664,0.2919377926948201,95
31,木林森,0.5347717007033419,0.25491494045496715,0.32159854484200323,86
32,纳思达,0.1084542826150809,0.09051392316667256,-0.07358497562630939,135
33,科力远,0.37696876157362935,0.8926759331392361,0.5677924554526174,21
34,中颖电子,0.3884511013487242,0.4876815487805226,0.4022141572442436,62
35,高鸿股份,0.6650692841576819,0.28420078901034834,0.4097170792253856,61
36,大族激光,0.5233115077218191,0.42319040752126375,0.4517077946110015,42
37,紫光国微,0.2149426143477951,0.4446919771915234,0.23839607999835266,105
38,赛微电子,0.25264211611035725,0.9041634046572348,0.4465224226170378,45
39,太辰光,0.4082276229537376,0.33421854786018323,0.3092365699870774,89
40,汇顶科技,0.4944665472478738,0.611839677842582,0.5626362831562838,23
41,轴研科技,0.7770526279438664,0.2838874418877703,0.44998484909118164,44
42,华工科技,0.5638238330286031,0.6161318698881921,0.6189626604516747,16
43,跃岭股份,0.2511334745567728,0.7115926423879194,0.39751643203477727,64
44,联创电子,0.4532055043104398,0.4614382124493634,0.43251513400840436,50
45,晶晨股份,0.34607569583633946,0.7785484038618874,0.509595911796544,33
46,全志科技,0.4506912226867406,0.2568756725873585,0.2758929180955927,97
47,乾照光电,0.06998798796855134,0.9012792081553076,0.26476305822255575,99
48,海伦哲,0.6936956136081144,0.3404767190915653,0.47281822411233676,38
49,智光电气,0.5569486055777573,0.5712679031754844,0.5834728319473346,18
50,上海贝岭,0.5802402382442622,0.3791165227390873,0.4505371590766917,43
51,北方华创,0.06641868050818463,0.20863924405948095,-0.02385698762021571,132
52,四维图新,0.6240264086284627,0.5099444660946801,0.5823345827067539,19
53,亚翔集成,0.5705255678601121,0.3687284666551587,0.43648704223606904,48
54,士兰微,0.19580154238099595,0.760951959391897,0.3610249557016858,76
55,聚灿光电,0.013315611153430185,0.9016078714036048,0.20842191726356785,114
56,光弘科技,0.1884324906762991,0.3312997314175212,0.14842885576288545,122
57,汉威科技,0.3982619124810295,0.23206228984785554,0.2243888824717568,109
58,*ST大港,0.3038920968948611,0.8506468095791708,0.48805015046401334,37
59,证通电子,0.5389016663618833,0.2273266442744569,0.3002023627881546,91
60,扬杰科技,0.00776930377862005,0.9453174135391244,0.20626364674224795,115
61,通富微电,0.16435367236585302,0.6606213510391769,0.2980672684402068,93
62,天龙股份,0.4469302159618468,0.2020345933879364,0.2291060942793154,108
63,中微公司,0.3557933226894712,0.5183557167481759,0.3956471802246012,66
64,翠微股份,0.7657826161827719,0.3748827309645252,0.5324452210278493,26
65,澜起科技,0.3986593506375677,0.6884733908525206,0.5227560227048467,28
66,中科曙光,0.46839171349198105,0.006626089577725953,0.07332387253850436,129
67,苏州固锝,0.6160484312681993,0.4759841749926828,0.5503759610438433,25
68,晶方科技,0.7478086035443396,0.23201617246181516,0.3916685953110218,70
69,航锦科技,0.36074161917167497,0.17117359732705045,0.15328872976974495,120
70,怡达股份,0.6512576331532763,0.8121536883294174,0.803884517795509,1
71,国科微,0.1704991812381053,0.7185477820852387,0.32405082379410166,85
72,华胜天成,0.3524123016665532,0.4520618296274099,0.351704022416661,80
73,博通集成,0.5441380417029165,0.5506314571844385,0.5598889062868594,24
74,鼎信通讯,0.4180063515588167,0.5529991840196522,0.46615646332956195,41
75,*ST北能,0.3939140452709968,0.649413318635251,0.49982059036978566,35
76,恒实科技,0.08862477578927618,0.7161613912677401,0.2454481914991664,104
77,格力电器,0.5724951905124825,0.7784089480683719,0.7184784984747574,7
78,圣邦股份,0.30975508982117844,0.7575598475493238,0.46841592175056423,39
79,荣联科技,0.4150604286482011,0.32449377465515244,0.30643245212638215,90
80,大恒科技,0.6457485652396576,0.5910008640443144,0.6589137109090099,11
81,奥普光电,0.3148207604722643,0.6856011387530102,0.446131819060381,46
82,*ST华讯,0.66893358454071,0.7065624400234004,0.7576081227575672,4
83,韦尔股份,0.039315623563722236,0.8275855566647236,0.22396659309254519,110
84,波导股份,0.14048684912205633,0.3853522072469398,0.14332844948473245,123
85,瑞斯康达,0.3141793500703908,0.3195010631726729,0.23385882662366875,106
86,明阳智能,0.5920437294692009,0.9261259974018512,0.785409012489092,2
87,欧比特,0.542158571979841,0.3139212507996019,0.375183157715653,73
88,南洋股份,0.053545130592521833,0.7910434328246123,0.2307530413816875,107
89,劲嘉股份,0.4509170216067264,0.4095044006420287,0.3936643564728408,68
90,兆易创新,0.16687605285873433,0.3446066219499589,0.139983023111381,124
91,华天科技,0.4239959812796147,0.2605772482506241,0.262702482993445,100
92,华灿光电,0.5453344736803907,0.2983584972365512,0.3639249201036798,75
93,北京君正,0.3180268658374288,0.2920493142360174,0.21700380001079678,112
94,华微电子,0.30102284805045965,0.6477545014362479,0.41728296926289055,57
95,腾信股份,0.3061404809423952,0.7623502439654496,0.4665707677422912,40
96,卓胜微,0.5611483385732184,0.6224357055705656,0.6210824090036275,15
97,*ST德豪,0.6631808734426344,0.6666228370551863,0.7260934092165424,6
98,海特高新,0.21810000302477006,0.8208925666814383,0.39784846946488495,63
99,博威合金,0.5185642880993315,0.7112098825498872,0.6385909898922592,13
100,乐鑫科技,0.3994083326487125,0.7873665182282963,0.5628788588799167,22
101,长电科技,0.18891456171967855,0.5505824251998419,0.2727267151860586,98
102,上海新阳,0.6249324552864219,0.3214139324844606,0.42465832427008277,53
103,中化岩土,0.020242905958839742,0.5456380617991878,0.12001447499997586,125
104,晓程科技,0.110896681057843,0.8526460873557703,0.29876868267601664,92
105,大唐电信,0.8513772068538811,0.24420687093254825,0.4297325214004398,51
106,金信诺,0.6187282881752042,0.8116274902130469,0.774732647995116,3
107,光力科技,0.13628810728891666,0.4075949360501964,0.15265001389032662,121
108,吉视传媒,0.2554824048366291,0.5868390595366245,0.34852574188503505,81
109,张江高科,0.8188438961377247,0.21322554193605,0.39263912540402246,69
110,华力创通,0.21140003291469395,0.05982279618597507,-0.027119832232575636,134
111,卫士通,0.4554284864203288,0.3610536391009621,0.36047002107811676,77
112,亨通光电,0.003673641774142343,0.5283607982591965,0.09767983384394952,127
113,嘉欣丝绸,0.4264121214784625,0.4691339728582811,0.4184491103196988,56
114,淳中科技,0.3834528093956817,0.28958575937038106,0.25935190877170444,101
115,华西股份,0.5044962638639618,0.26624448395505684,0.3146068049441799,87
116,友讯达,0.34460927090184545,0.5746008290107678,0.4186540699113249,55
117,合众思壮,0.7149724090916311,0.5324902965215861,0.6524545220481653,12
118,天和防务,0.21934440020293972,0.4042386720266611,0.21798435582570053,111
119,*ST高升,0.5059378378607503,0.3631624384046386,0.3939854220199016,67
120,综艺股份,0.5959609985857102,0.4675369101732788,0.5315955889645285,27
121,三安光电,0.18737285792650984,0.5059428869386413,0.24897144995481202,103
122,传艺科技,0.7646815913780142,0.535086884706158,0.6789251894318732,10
123,宏达电子,0.4176143327210665,0.6431280178152279,0.5169694903443793,30
124,ST瑞德,0.4715252754823552,0.5271445016547301,0.49086118653020117,36
125,三泰控股,0.23716002444172385,0.6424287000227094,0.3575143544978341,79
126,振芯科技,0.4329200657116903,0.4965798515587582,0.4417048742547295,47
127,兆驰股份,0.6934286108179282,0.042592967609183977,0.19470688735254216,116
128,中海达,0.5187211714383893,0.5178013042244703,0.5187181985189548,29
129,光库科技,0.6891472278840912,0.2745273559867252,0.41073451669051375,60
