,name,corr_score,ret_score,score,rank
0,科蓝软件,0.06713909805760099,0.1481975790681957,-0.06324852134410541,38
1,创业慧康,0.2526028070366161,0.29113253147481233,0.1699050276878089,15
2,劲嘉股份,0.51057836864002,0.1717153521713431,0.23792464376655686,11
3,新开普,0.049638402688783306,0.05500425865366102,-0.14022539776212417,39
4,中国太保,0.20225220244114747,0.9702662874825168,0.40169827623255616,6
5,高伟达,0.20449443715037088,0.37322746976991794,0.18724489377948594,14
6,万向德农,0.5133041139242109,0.2423523282504192,0.2994985396843278,7
7,承德露露,0.4075074023918781,0.06554759490064761,0.09354223956972296,28
8,汇鸿集团,0.4407011552161657,0.4955896463951115,0.446843308069071,4
9,巨人网络,0.2780873714892296,0.2346055837408897,0.14786576158555054,19
10,财通证券,0.5121744395033975,0.4407372363121093,0.4578756058977431,3
11,捷顺科技,0.22880660418160906,0.15288775379546446,0.05442660146824485,33
12,申通地铁,0.17637782636162824,0.3104179574046024,0.12581338754440008,22
13,健康元,0.593112388950494,0.13860128499294733,0.24733779636149322,9
14,佳都科技,0.2966444065001955,0.28353549956585883,0.19599279320823304,13
15,塞力斯,0.06933688708388043,0.2471955415821277,0.0029835496717063315,34
16,海泰发展,0.13812421771863131,0.2626560084362562,0.0657575100630925,30
17,君正集团,0.2759126425304433,0.027309261107044912,-0.012612788475929282,37
18,浙大网新,0.33873341523357303,0.1331568569725996,0.10972914799015365,26
19,航天信息,0.2679934278575801,0.20574566133422645,0.11987335180123382,24
20,易联众,0.02932103700767105,0.5947855189985615,0.14813668910398436,18
21,东港股份,0.2591822696853118,0.05032815581685779,-0.0044449016799466,36
22,七匹狼,0.10983033299465557,0.36010444718390194,0.10370243338305918,27
23,卫宁健康,0.17444961008239546,0.3376324746044016,0.14157466725715717,21
24,湘邮科技,0.2089370516740331,0.17951850347205178,0.06027614118203495,32
25,永安行,0.17219618940290862,0.2374276679257813,0.07448868931308472,29
26,凤凰传媒,0.04723710972574492,0.4978271882421312,0.12299737328428195,23
27,绿地控股,0.42898000217921256,0.07129018458217773,0.10978636994180913,25
28,新大陆,0.09512787606306024,0.2066922376263101,-0.003383050620416217,35
29,金字火腿,0.4058228346463687,0.2501019313198005,0.24323795161076245,10
30,合肥城建,0.4708341243094277,0.1071037101080338,0.16207885246604192,16
31,中国人寿,0.2583755559062926,0.7081299244839563,0.4030088099238225,5
32,润和软件,0.19931636901963293,0.3160860632983433,0.1469888178491825,20
33,新华保险,0.32599150353180106,0.9805037746524552,0.5257095906702184,2
34,张江高科,0.3016249146502977,0.10461730726529682,0.0644657969545559,31
35,南京银行,0.24306695210211,0.2785825520472936,0.15434672419076434,17
36,新华联,0.52105584823047,0.18742709038095506,0.25678091942486914,8
37,恒生电子,0.4985719571264693,0.16309303513958295,0.22437540518299015,12
38,国金证券,0.6270706582679282,0.4647446862730415,0.5476392525621571,1
