,name,score,normal_score,rank,prob,prob_flag,prob_sigma
0,新和成,4602,0.7018239492466296,40,0.07823388880507652,False,0.4
1,华兰生物,3011,0.07097541633624108,97,0.6813665459817865,True,0.4
2,大族激光,5354,1.0,1,0.3910486422589061,False,0.4
3,传化智联,4105,0.5047581284694687,60,0.6406286932694668,True,0.4
4,中航机电,3857,0.4064234734337827,72,0.7461835101152794,True,0.4
5,亿帆医药,3666,0.3306899286280729,76,0.016327668827330572,False,0.4
6,苏宁易购,5058,0.8826328310864393,14,0.6656327883703824,True,0.4
7,分众传媒,4323,0.591197462331483,52,0.8643349967886776,True,0.4
8,苏泊尔,3561,0.289056304520222,82,0.7422865938295119,True,0.4
9,美年健康,3978,0.4544012688342585,67,0.26758736871226035,False,0.4
10,紫光国微,4128,0.5138778747026169,59,0.4240360420468661,True,0.4
11,三花智控,4140,0.5186360031720857,58,0.4352261258824471,True,0.4
12,东华软件,4933,0.8330689928628073,22,0.3045075341054846,False,0.4
13,国轩高科,4669,0.7283901665344964,35,0.5521688419133219,True,0.4
14,沙钢股份,2832,0.0,100,0.6482817181954309,True,0.4
15,太阳纸业,4015,0.4690721649484536,62,0.5224043749250126,True,0.4
16,金螳螂,4093,0.5,61,0.3107581619702354,False,0.4
17,三钢闽光,4290,0.578112609040444,54,0.8362326610273427,True,0.4
18,韵达股份,3789,0.3794607454401269,73,0.5043811555166817,True,0.4
19,南极电商,3457,0.2478191911181602,87,0.429273660294874,True,0.4
20,中环股份,4812,0.7850911974623315,27,0.6515534253600076,True,0.4
21,宁波银行,3398,0.2244250594766059,89,0.4323174171708916,True,0.4
22,荣盛发展,3423,0.2343378271213323,88,0.7819098830513566,True,0.4
23,广电运通,4327,0.5927835051546392,51,0.25310995657665425,False,0.4
24,石基信息,4156,0.5249801744647106,57,0.9408141660980708,True,0.4
25,正邦科技,3501,0.2652656621728787,84,0.02722617748208842,False,0.4
26,中航光电,4385,0.6157811260904045,48,0.5777737805811209,True,0.4
27,纳思达,4420,0.6296590007930214,46,0.13136595131804474,False,0.4
28,华天科技,4692,0.7375099127676448,33,0.3468649671589332,False,0.4
29,二三四五,5042,0.8762886597938144,16,0.7963799558900303,True,0.4
30,金风科技,4757,0.7632831086439333,30,0.8953269905247763,True,0.4
31,合力泰,5039,0.8750991276764473,17,0.7075621722783763,True,0.4
32,鱼跃医疗,3994,0.4607454401268834,65,0.43783157338783424,True,0.4
33,科大讯飞,4939,0.8354480570975417,21,0.3553522833354184,False,0.4
34,大华股份,5300,0.9785884218873909,3,0.15041558055152587,False,0.4
35,歌尔股份,4821,0.788659793814433,26,0.2720743115614236,False,0.4
36,上海莱士,4559,0.6847739888977002,42,0.5448030336663092,True,0.4
37,卫士通,4400,0.6217287866772403,47,0.3188181703926717,False,0.4
38,东方雨虹,3339,0.2010309278350516,90,0.05561799343108316,False,0.4
39,光迅科技,4964,0.845360824742268,20,0.7906921798653512,True,0.4
40,信立泰,4723,0.7498017446471055,31,0.07384360927210773,False,0.4
41,圣农发展,4312,0.5868358445678034,53,0.08316697671709812,False,0.4
42,洋河股份,3466,0.2513877874702617,86,0.3414744523002286,False,0.4
43,海大集团,3983,0.4563838223632038,66,0.12895229543615627,False,0.4
44,格林美,4708,0.7438540840602696,32,0.20797534691567696,False,0.4
45,顺丰控股,2894,0.02458366375892149,99,0.426765533284925,True,0.4
46,杰瑞股份,4627,0.7117367168913561,38,0.2900314405021495,False,0.4
47,北方华创,4599,0.7006344171292624,41,0.2829517283621279,False,0.4
48,伟星新材,3637,0.3191911181601903,78,0.9921796373341352,True,0.4
49,千方科技,4923,0.8291038858049168,24,0.4118231498052172,True,0.4
50,东山精密,5330,0.9904837430610627,2,0.5056877159599111,True,0.4
51,大北农,2988,0.06185567010309279,98,0.07850711029367331,False,0.4
52,海普瑞,4223,0.5515463917525774,55,0.4201782237349515,True,0.4
53,四维图新,4380,0.6137985725614592,49,0.5505434438663117,True,0.4
54,广联达,3995,0.4611419508326725,64,0.5212598222053697,True,0.4
55,高德红外,3063,0.091593973037272,95,0.0943176430890222,False,0.4
56,海康威视,5053,0.880650277557494,15,0.9135168199207536,True,0.4
57,科伦药业,3320,0.1934972244250595,91,0.3132487450371088,False,0.4
58,启明星辰,4648,0.7200634417129262,37,0.5390701432920337,True,0.4
59,欧菲光,5209,0.9425059476605868,5,0.2811212249430615,False,0.4
60,赣锋锂业,4854,0.8017446471054719,25,0.6866685638654133,True,0.4
61,沪电股份,5080,0.8913560666137986,11,0.5822261245530105,True,0.4
62,海格通信,4351,0.6022997620935765,50,0.2647128495784841,False,0.4
63,天齐锂业,3489,0.26050753370341,85,0.5295966499109563,True,0.4
64,申通快递,4651,0.7212529738302934,36,0.3429471176313501,False,0.4
65,立讯精密,5198,0.9381443298969072,6,0.5534390069239872,True,0.4
66,荣盛石化,3960,0.4472640761300555,69,0.4937731506774153,True,0.4
67,山西证券,5186,0.9333862014274386,7,0.750604312553826,True,0.4
68,涪陵榨菜,3199,0.1455194290245837,94,0.3323661064746111,False,0.4
69,老板电器,3944,0.4409199048374306,70,0.15275699252933314,False,0.4
70,三七互娱,4765,0.7664551942902459,29,0.20080961866017413,False,0.4
71,巨人网络,3999,0.4627279936558287,63,0.629209441319021,True,0.4
72,森马服饰,3277,0.1764472640761301,92,0.959020931125443,True,0.4
73,索菲亚,4188,0.5376685170499603,56,0.4889259436977769,True,0.4
74,比亚迪,3549,0.2842981760507534,83,0.9461239321487532,True,0.4
75,领益智造,5156,0.9214908802537668,8,0.5764233565682536,True,0.4
76,龙蟒佰利,3920,0.4314036478984933,71,0.7959311569508832,True,0.4
77,世纪华通,3654,0.3259318001586043,77,0.16172985195027234,False,0.4
78,中公教育,3263,0.1708961141950833,93,0.3779876112722829,False,0.4
79,完美世界,4674,0.7303727200634417,34,0.3745709320814942,False,0.4
80,国盛金控,4554,0.682791435368755,43,0.7580913074511996,True,0.4
81,西部证券,5125,0.9091990483743061,9,0.7450877751657151,True,0.4
82,美亚光电,4931,0.8322759714512292,23,0.13955588433148405,False,0.4
83,牧原股份,3617,0.3112609040444092,80,0.08052798177458691,False,0.4
84,国信证券,5210,0.9429024583663759,4,0.7184697411288404,True,0.4
85,万达电影,3020,0.07454401268834258,96,0.5644801142981437,True,0.4
86,康弘药业,3700,0.3441712926249009,75,0.5786150561623873,True,0.4
87,第一创业,5036,0.8739095955590801,18,0.8673741055553404,True,0.4
88,恩捷股份,4616,0.7073750991276765,39,0.7872553300215178,True,0.4
