,name,score,normal_score,rank,prob,prob_flag,prob_sigma
0,我武生物,13960,0.8294220399483557,16,0.7139846405429129,True,0.4
1,博腾股份,7647,0.3499658236500342,114,0.32018559691299364,False,0.4
2,溢多利,10397,0.5588212956634009,75,0.4700758070263573,True,0.4
3,九强生物,14270,0.8529657477025898,11,0.3722417790879637,False,0.4
4,金石亚药,12397,0.710716184400395,41,0.7952794815283578,True,0.4
5,广生堂,7980,0.3752563226247437,112,0.2665788542859522,False,0.4
6,美康生物,12607,0.7266651477177793,33,0.5163502289403288,True,0.4
7,山河药辅,10861,0.5940609098503835,63,0.1371616056059782,False,0.4
8,迈克生物,12513,0.7195260879471406,36,0.7664337042249653,True,0.4
9,万孚生物,12509,0.7192222981696665,37,0.08788563086229159,False,0.4
10,赛升药业,8962,0.4498367129946078,100,0.8478916924689232,True,0.4
11,富祥药业,12801,0.7413989519252677,30,0.17011289869243312,False,0.4
12,海顺新材,9325,0.4774056353003722,96,0.5283388543628474,True,0.4
13,新光药业,13291,0.7786131996658312,23,0.8344330141334173,True,0.4
14,陇神戎发,10788,0.5885167464114832,64,0.7352014281839384,True,0.4
15,贝达药业,12998,0.7563605984658617,25,0.3629591387347558,False,0.4
16,兴齐眼药,7037,0.303637882585251,120,0.540376347438226,True,0.4
17,赛托生物,11622,0.6518569150148098,52,0.844953575155725,True,0.4
18,海辰药业,10285,0.5503151818941293,81,0.6621388427831029,True,0.4
19,康泰生物,13166,0.7691197691197691,24,0.5075807158671196,True,0.4
20,普利制药,11780,0.6638566112250323,50,0.2736329577961201,False,0.4
21,同和药业,10945,0.6004404951773373,61,0.2517154341040439,False,0.4
22,凯普生物,11188,0.618895724158882,58,0.4296343270270573,True,0.4
23,透景生命,11959,0.6774512037669932,45,0.34063891405136704,False,0.4
24,海特生物,11832,0.6678058783321941,48,0.4008401222405749,True,0.4
25,艾德生物,15125,0.9179008126376548,6,0.25425062808274546,False,0.4
26,天宇股份,11655,0.6543631806789701,51,0.06376901599407846,False,0.4
27,九典制药,10971,0.6024151287309182,60,0.3944109744659111,False,0.4
28,一品红,9133,0.4628237259816207,99,0.42726481127170507,True,0.4
29,中国医药,12757,0.7380572643730539,31,0.7628024020071015,True,0.4
30,华润双鹤,13429,0.7890939469886838,21,0.9500902192671083,True,0.4
31,人福医药,12412,0.7118553960659224,40,0.20950873937296144,False,0.4
32,ST金花,7435,0.3338649654439128,117,0.8803110172911068,True,0.4
33,同仁堂,10510,0.5674033568770411,73,0.668917727831097,True,0.4
34,太极集团,10544,0.56998556998557,72,0.2526695822393246,False,0.4
35,天坛生物,15009,0.9090909090909091,7,0.4842910988207685,True,0.4
36,中牧股份,9205,0.4682919419761525,97,0.0,False,0.4
37,复星医药,13733,0.8121819700767069,19,0.5482062278246147,True,0.4
38,生物股份,10257,0.5481886534518113,82,0.7720661352306553,True,0.4
39,西藏药业,10746,0.5853269537480064,65,0.1481319072859975,False,0.4
40,浙江医药,12096,0.6878560036454773,43,0.12377985142652337,False,0.4
41,太龙药业,8564,0.4196096301359459,104,0.7091905792157612,True,0.4
42,圣济堂,5414,0.1803751803751804,128,0.7501255907919632,True,0.4
43,中恒集团,10324,0.5532771322245007,78,0.6317811573975932,True,0.4
44,海正药业,6882,0.291866028708134,123,0.164609361885725,False,0.4
45,恒瑞医药,15558,0.950786056049214,2,0.8067179704595528,True,0.4
46,羚锐制药,14239,0.8506113769271664,13,0.6320033915772382,True,0.4
47,安迪苏,8460,0.4117110959216222,106,0.1848466047150061,False,0.4
48,中新药业,15440,0.9418242576137313,3,0.3205987090111562,False,0.4
49,白云山,13335,0.7819548872180451,22,0.906236363586635,True,0.4
50,亚宝药业,12042,0.6837548416495784,44,0.6982621547814054,True,0.4
51,健康元,14731,0.887977519556467,9,0.18332385832771855,False,0.4
52,ST金泰,5111,0.1573631047315258,130,0.920241227108638,True,0.4
53,现代制药,12430,0.7132224500645553,39,0.5983410392570851,True,0.4
54,昆药集团,14733,0.8881294144452039,8,0.6330475409286945,True,0.4
55,片仔癀,13995,0.8320802005012531,15,0.1770261637931222,False,0.4
56,千金药业,14064,0.8373205741626795,14,0.5392411864688004,True,0.4
57,天药股份,8266,0.3969772917141338,110,0.6933476555790693,True,0.4
58,联环药业,10156,0.5405179615705932,84,0.6688670397553489,True,0.4
59,ST康美,6628,0.2725753778385357,125,0.9086507141580548,True,0.4
60,华海药业,12185,0.6946153261942736,42,0.005456384944296738,False,0.4
61,*ST交昂,7812,0.3624971519708362,113,0.9169323480347884,True,0.4
62,天士力,13513,0.7954735323156376,20,0.6180964873702031,True,0.4
63,康缘药业,12928,0.7510442773600668,27,0.8995890261762989,True,0.4
64,济川药业,13851,0.8211437685121896,18,0.6454283418412939,True,0.4
65,*ST中珠,4460,0.1079213184476342,131,0.8008167549921842,True,0.4
66,康恩贝,13918,0.8262322472848789,17,0.7999157164813572,True,0.4
67,益佰制药,10287,0.5504670767828662,80,0.2810069860780644,False,0.4
68,神奇制药,9937,0.5238854712538923,88,0.6653096217843825,True,0.4
69,哈药股份,7078,0.3067517278043594,119,0.7681787820259987,True,0.4
70,*ST目药,6898,0.2930811878180299,122,0.3890996124375072,False,0.4
71,江中药业,12509,0.7192222981696665,38,0.33218459693536306,False,0.4
72,莱美药业,10667,0.5793271056428951,70,0.5120449015300179,True,0.4
73,安科生物,14529,0.8726361357940305,10,0.6145121140525787,True,0.4
74,沪深300能源(一级行业)指数,5181,0.1626794258373206,129,0.9365104354553022,True,0.4
75,沪深300价值指数,6938,0.2961190855927698,121,0.8797571574919927,True,0.4
76,中证可选消费指数,12597,0.7259056732740943,34,0.8347511891097211,True,0.4
77,沪深300地产指数,3889,0.06455532771322245,132,0.85122437036761,True,0.4
78,全指可选,12972,0.7543859649122807,26,0.7579831447825918,True,0.4
79,寿仙谷,8771,0.4353307511202248,101,0.9348634858371876,True,0.4
80,大理药业,10929,0.5992253360674413,62,0.1907147927098394,False,0.4
81,正川股份,10320,0.5529733424470267,79,0.6291938668899613,True,0.4
82,方盛制药,12720,0.7352472089314195,32,0.7380211034307157,True,0.4
83,康惠制药,10356,0.5557074504442926,77,0.4967220997198475,True,0.4
84,莎普爱思,11524,0.644414065466697,53,0.6044624806711171,True,0.4
85,济民制药,3039,0.0,133,0.948565452622344,True,0.4
86,奥翔药业,9578,0.4966203387256019,95,0.1938016906941029,False,0.4
87,威尔药业,6706,0.2784992784992785,124,0.6683216117316483,True,0.4
88,辰欣药业,15288,0.9302802460697197,5,0.7158928788202108,True,0.4
89,基蛋生物,11162,0.6169210906053011,59,0.5823858891457371,True,0.4
90,九洲药业,10202,0.5440115440115441,83,0.2669003316891333,False,0.4
91,司太立,10077,0.5345181134654818,86,0.1729997045608371,False,0.4
92,美诺华,12825,0.7432216905901117,29,0.029636942296703918,False,0.4
93,普莱柯,10429,0.5612516138831928,74,0.34571400000743396,False,0.4
94,珍宝岛,11307,0.6279334700387332,56,0.928271064515204,True,0.4
95,康辰药业,11856,0.669628616997038,47,0.2934251835309786,False,0.4
96,安图生物,14263,0.8524341155920103,12,0.8375644733020939,True,0.4
97,灵康药业,8535,0.4174071542492595,105,0.7090712869538365,True,0.4
98,卫信康,9860,0.5180375180375181,89,0.3243912466544157,False,0.4
99,健友股份,9673,0.5038353459406091,94,0.4862105222641984,True,0.4
100,海利生物,8636,0.4250778461304777,102,0.11937890523858813,False,0.4
101,诚意药业,11479,0.6409964304701147,54,0.4117475974836096,True,0.4
102,步长制药,12916,0.7501329080276449,28,0.3704810891971289,False,0.4
103,南卫股份,9991,0.5279866332497911,87,0.5093948194128303,True,0.4
104,北陆药业,11831,0.6677299308878256,49,0.3067758158949799,False,0.4
105,红日药业,8095,0.3839902787271208,111,0.4458489821688984,True,0.4
106,上海凯宝,8422,0.4088250930356194,108,0.4151542617857416,True,0.4
107,康芝药业,8594,0.4218880534670008,103,0.5664083062616834,True,0.4
108,吉药控股,8336,0.4022936128199286,109,0.852459016393442,True,0.4
109,华仁药业,9852,0.51742993848257,90,0.8630863764137542,True,0.4
110,向日葵,6077,0.2307283359914939,127,0.6419673361183249,True,0.4
111,瑞普生物,10712,0.5827447406394775,66,0.4194965406965418,True,0.4
112,智飞生物,16206,1.0,1,0.8330260562392908,True,0.4
113,沃森生物,15367,0.936280094174831,4,0.2248675210287561,False,0.4
114,上证民营企业红利指数,11282,0.6260347839295207,57,0.8229022205360592,True,0.4
115,广誉远,9839,0.5164426217057796,91,0.4945779165525556,True,0.4
116,*ST辅仁,6311,0.2485000379737222,126,0.9048635863986436,True,0.4
117,鲁抗医药,9716,0.5071010860484545,93,0.7734461961299924,True,0.4
118,华北制药,7091,0.3077390445811499,118,0.4174469807667355,True,0.4
119,海欣股份,10698,0.5816814764183186,67,0.6773040981349621,True,0.4
120,通化东宝,12584,0.7249183564973039,35,0.6966329622972877,True,0.4
121,仟源医药,10685,0.580694159641528,68,0.752058136047456,True,0.4
122,常山药业,11432,0.6374269005847953,55,0.2429326120479404,False,0.4
123,尔康制药,10128,0.5383914331282752,85,0.8889371670064316,True,0.4
124,利德曼,10384,0.5578339788866105,76,0.9342188477485296,True,0.4
125,博雅生物,10678,0.5801625275309485,69,0.5895989229789393,True,0.4
126,香雪制药,7491,0.3381180223285487,116,0.7445056060985183,True,0.4
127,振东制药,9138,0.4632034632034632,98,0.3757827002568091,False,0.4
128,佐力药业,11903,0.6731981468823575,46,0.814269261813802,True,0.4
129,福安药业,8460,0.4117110959216222,107,0.3208139780397597,False,0.4
130,翰宇药业,7598,0.3462443988759778,115,0.7262559858421285,True,0.4
131,舒泰神,10644,0.5775803144224196,71,0.3875931253370984,False,0.4
132,金城医药,9740,0.5089238247132984,92,0.02179548994922676,False,0.4
