,name,score,normal_score,rank,prob,prob_flag,prob_sigma
0,ST舍得,1526,0.5575524176294394,14,0.2323264930598349,False,0.4
1,洋河股份,1743,0.6504065040650406,7,0.4523698208294757,True,0.4
2,酒鬼酒,1587,0.5836542575952075,12,0.4624333667964519,True,0.4
3,广誉远,467,0.1044073598630723,18,0.3861841064136684,False,0.4
4,泸州老窖,2238,0.8622165169020112,3,0.6882626449740139,True,0.4
5,水井坊,1662,0.6157466837826273,9,0.3726004701210677,False,0.4
6,ST岩石,223,0.0,20,0.7122402784234395,True,0.4
7,口子窖,1622,0.5986307231493367,11,0.40143457034433294,True,0.4
8,古井贡酒,1734,0.6465554129225503,8,0.34293138794922906,False,0.4
9,五粮液,2465,0.959349593495935,2,0.4380888556150662,True,0.4
10,青海春天,398,0.07488232777064613,19,0.98907079706184,True,0.4
11,今世缘,1810,0.6790757381258024,5,0.0599442875535849,False,0.4
12,迎驾贡酒,1573,0.5776636713735558,13,0.3244057635201157,False,0.4
13,山西汾酒,2122,0.8125802310654685,4,0.7383657497204226,True,0.4
14,顺鑫农业,1086,0.3692768506632434,16,0.13894241565703386,False,0.4
15,青青稞酒,994,0.3299101412066752,17,0.6555325250272381,True,0.4
16,贵州茅台,2560,1.0,1,0.5551446381603603,True,0.4
17,金种子酒,1623,0.599058622165169,10,0.4525098561141387,True,0.4
18,老白干酒,1793,0.6718014548566539,6,0.36592826345622254,False,0.4
19,伊力特,1392,0.5002139495079161,15,0.2604487703598701,False,0.4
