,name,score,normal_score,rank,prob,prob_flag,prob_sigma
0,澄天伟业,5790,0.7786037020842442,70,0.4671191427112298,True,0.4
1,必创科技,5319,0.709954817082058,92,0.7715323517866707,True,0.4
2,飞利信,5554,0.7442063839090511,82,0.7077409705185224,True,0.4
3,英唐智控,4545,0.5971432735752805,114,0.5040661191356893,True,0.4
4,特发信息,5633,0.7557207404168489,77,0.2949544813520628,False,0.4
5,歌尔股份,6244,0.844774814167031,50,0.3748715349909666,False,0.4
6,移为通信,6991,0.9536510712724092,18,0.1445309736453687,False,0.4
7,民德电子,6269,0.8484185978720303,47,0.9043081118962426,True,0.4
8,长盈精密,6562,0.8911237428946218,33,0.4940290028308783,True,0.4
9,和而泰,6032,0.8138755283486372,58,0.5511925320988925,True,0.4
10,国民技术,5962,0.8036729339746392,61,0.023967515946898013,False,0.4
11,东软载波,5498,0.7360443084098528,84,0.4485198713703736,True,0.4
12,*ST晨鑫,2836,0.3480542195015304,131,0.6077016441338552,True,0.4
13,万盛股份,4116,0.5346159451974931,119,0.6866035844697642,True,0.4
14,安控科技,4922,0.6520915318466696,104,0.5561695759562758,True,0.4
15,润欣科技,6724,0.9147354613030171,31,0.410667825312312,True,0.4
16,东土科技,5616,0.7532429674974493,78,0.4891410516530945,True,0.4
17,兆日科技,5559,0.7449351406500511,81,0.4280029334468685,True,0.4
18,澳洋顺昌,5636,0.7561579944614488,75,0.9944889105694948,True,0.4
19,力源信息,6543,0.8883544672788223,35,0.4520475510211733,True,0.4
20,联创光电,4899,0.6487392508380703,106,0.5445471496655322,True,0.4
21,经纬辉开,3768,0.4838944760239032,123,0.27631936286930864,False,0.4
22,三川智慧,5259,0.7012097361900598,98,0.37712355024179856,False,0.4
23,富瀚微,6085,0.8216003498032357,57,0.03882439397777453,False,0.4
24,苏试试验,4298,0.5611426905698877,115,0.13431576352754127,False,0.4
25,景嘉微,7005,0.9556915901472088,15,0.17871667067954228,False,0.4
26,博创科技,5184,0.6902783850750619,100,0.2507055247713413,False,0.4
27,水晶光电,7091,0.9682262060924064,7,0.12089915927720032,False,0.4
28,太极实业,7011,0.9565660982364087,14,0.4863888011765677,True,0.4
29,睿创微纳,5323,0.7105378224748579,91,0.6790311990266935,True,0.4
30,鼎龙股份,6029,0.8134382743040374,59,0.1267108043669664,False,0.4
31,木林森,5262,0.7016469902346597,97,0.25491494045496715,False,0.4
32,纳思达,5740,0.7713161346742458,73,0.09051392316667256,False,0.4
33,科力远,5426,0.7255502113394549,87,0.8926759331392361,True,0.4
34,中颖电子,7024,0.9584608657630083,12,0.4876815487805226,True,0.4
35,高鸿股份,6324,0.8564349220230287,43,0.28420078901034834,False,0.4
36,大族激光,6299,0.8527911383180294,44,0.42319040752126375,True,0.4
37,紫光国微,6468,0.8774231161638245,38,0.4446919771915234,True,0.4
38,赛微电子,6906,0.9412622066754117,23,0.9041634046572348,True,0.4
39,太辰光,6288,0.8511878734878298,46,0.33421854786018323,False,0.4
40,汇顶科技,6561,0.8909779915464218,34,0.611839677842582,True,0.4
41,轴研科技,2983,0.3694796676869261,129,0.2838874418877703,False,0.4
42,华工科技,5565,0.7458096487392508,79,0.6161318698881921,True,0.4
43,跃岭股份,5635,0.7560122431132488,76,0.7115926423879194,True,0.4
44,联创电子,7024,0.9584608657630083,13,0.4614382124493634,True,0.4
45,晶晨股份,7105,0.9702667249672059,6,0.7785484038618874,True,0.4
