,name,score,normal_score,rank,prob,prob_flag,prob_sigma
0,科蓝软件,1617,0.6001635322976288,20,0.1481975790681957,False,0.4
1,创业慧康,1418,0.437448896156991,33,0.29113253147481233,False,0.4
2,劲嘉股份,1836,0.7792313982011447,8,0.1717153521713431,False,0.4
3,新开普,1492,0.4979558462796402,27,0.05500425865366102,False,0.4
4,中国太保,2068,0.9689288634505315,2,0.9702662874825168,True,0.4
5,高伟达,1475,0.4840556009811938,28,0.37322746976991794,False,0.4
6,万向德农,883,0.0,39,0.2423523282504192,False,0.4
7,承德露露,1807,0.7555192150449714,12,0.06554759490064761,False,0.4
8,汇鸿集团,1208,0.2657399836467703,37,0.4955896463951115,True,0.4
9,巨人网络,1419,0.4382665576451349,32,0.2346055837408897,False,0.4
10,财通证券,1824,0.7694194603434178,11,0.4407372363121093,True,0.4
11,捷顺科技,1711,0.6770237121831562,15,0.15288775379546446,False,0.4
12,申通地铁,1611,0.5952575633687653,21,0.3104179574046024,False,0.4
13,健康元,1526,0.5257563368765331,25,0.13860128499294733,False,0.4
14,佳都科技,1744,0.7040065412919051,14,0.28353549956585883,False,0.4
15,塞力斯,1644,0.6222403924775143,18,0.2471955415821277,False,0.4
16,海泰发展,1539,0.5363859362224039,23,0.2626560084362562,False,0.4
17,君正集团,1832,0.7759607522485691,10,0.027309261107044912,False,0.4
18,浙大网新,1422,0.4407195421095667,31,0.1331568569725996,False,0.4
19,航天信息,1874,0.8103025347506132,6,0.20574566133422645,False,0.4
20,易联众,1430,0.4472608340147179,30,0.5947855189985615,True,0.4
21,东港股份,1643,0.6214227309893704,19,0.05032815581685779,False,0.4
22,七匹狼,1688,0.6582174979558463,16,0.36010444718390194,False,0.4
23,卫宁健康,1354,0.3851185609157809,34,0.3376324746044016,False,0.4
24,湘邮科技,1544,0.5404742436631235,22,0.17951850347205178,False,0.4
25,永安行,1512,0.5143090760425184,26,0.2374276679257813,False,0.4
26,凤凰传媒,1680,0.651676206050695,17,0.4978271882421312,True,0.4
27,绿地控股,1868,0.8053965658217498,7,0.07129018458217773,False,0.4
28,新大陆,1766,0.7219950940310711,13,0.2066922376263101,False,0.4
29,金字火腿,1190,0.2510220768601799,38,0.2501019313198005,False,0.4
30,合肥城建,1467,0.4775143090760425,29,0.1071037101080338,False,0.4
31,中国人寿,2106,1.0,1,0.7081299244839563,True,0.4
32,润和软件,1264,0.3115290269828291,35,0.3160860632983433,False,0.4
33,新华保险,2059,0.9615699100572364,3,0.9805037746524552,True,0.4
34,张江高科,1526,0.5257563368765331,24,0.10461730726529682,False,0.4
35,南京银行,1966,0.8855273916598528,4,0.2785825520472936,False,0.4
36,新华联,1244,0.295175797219951,36,0.18742709038095506,False,0.4
37,恒生电子,1834,0.777596075224857,9,0.16309303513958295,False,0.4
38,国金证券,1959,0.8798037612428454,5,0.4647446862730415,True,0.4
