date,飞利信,恒宝股份,数知科技,聚龙股份,梦网集团,昆仑万维,科蓝软件,金固股份,金冠股份,金财互联,紫光国微,中科创达,信息发展,海联金汇,飞天诚信,赢时胜,科达股份,汉威科技,朗科科技,华媒控股,海峡创新,*ST联络,二三四五,众应互联,新晨科技,广电运通,数字认证,奥马电器,智度股份,华力创通,广东骏亚
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,-3.974236188267586,0.33196381173241285,-6.478336188267585,14.348063811732414,-0.1871361882675897,-6.832836188267587,-8.602636188267589,-10.191736188267587,41.995363811732425,-0.8863361882675898,-10.595636188267587,-0.6646361882675866,6.560263811732414,31.19356381173241,18.788963811732415,-2.7136361882675866,-6.714636188267587,-3.159336188267589,3.641363811732412,1.2972638117324138,-11.01373618826759,-8.853336188267585,-5.41403618826759,25.677163811732413,-2.9450361882675855,17.97216381173241,24.03556381173241,21.047763811732413,-6.269736188267588,-4.1324361882675875,4.099763811732413
2019-10-08,-8.678870680160694,0.010729319839307472,-12.80607068016069,15.466529319839307,0.49222931983930485,-11.775670680160692,-16.33327068016069,-13.065670680160693,39.49242931983932,-7.882170680160695,-15.186870680160691,-6.805870680160692,4.763529319839309,33.74142931983931,14.205029319839305,-7.272170680160691,-15.202170680160695,-8.573570680160696,4.563929319839307,-7.7721706801606905,-14.589970680160693,-13.930070680160693,-9.626370680160697,27.95132931983931,-11.814970680160691,23.68212931983931,14.566129319839309,23.191429319839305,-12.243070680160695,-10.327270680160694,-0.261970680160692
2019-10-09,-10.056884709920208,0.1219152900797913,-11.048984709920207,10.688915290079791,0.2007152900797884,-9.878984709920209,-12.86108470992021,-10.997384709920208,32.3474152900798,-4.402484709920212,-13.190684709920209,-5.324884709920209,4.9536152900797905,35.16311529007979,9.22781529007979,-4.488784709920208,-3.675784709920208,-7.55298470992021,12.22321529007979,-7.436184709920206,-12.267884709920212,-12.232184709920212,-11.549484709920213,24.938315290079792,-8.184684709920205,18.06691529007979,11.218915290079787,23.975115290079792,-9.28428470992021,-8.03198470992021,2.2609152900797915
2019-10-10,-10.317400373595632,5.306699626404368,-13.546300373595631,16.22439962640437,1.9077996264043655,-12.628000373595633,-18.732200373595635,-12.452500373595633,31.913199626404378,-5.974100373595634,-22.347600373595633,-10.871800373595631,7.581199626404368,34.14269962640437,16.56439962640437,-5.261300373595631,3.944999626404366,-7.632200373595632,20.222099626404365,-7.261700373595631,-14.500500373595633,-15.933300373595632,-14.416500373595635,29.14339962640437,-4.821500373595631,17.645399626404366,16.203699626404365,25.405999626404373,-3.3405003735956313,-0.9287003735956336,-8.594800373595628
2019-10-11,-8.113621016010164,5.198778983989835,-12.181821016010163,24.306678983989833,5.546778983989832,-13.213921016010165,-23.087621016010164,-16.126521016010166,33.786878983989844,-6.431821016010168,-20.55232101601016,-10.242221016010166,5.926178983989835,29.547678983989837,9.285678983989834,-9.457021016010165,15.112378983989839,-1.8287210160101655,24.429478983989835,-0.952521016010162,-16.005321016010168,-16.838721016010165,-12.094921016010167,25.914578983989834,-12.414921016010158,13.906078983989833,10.796878983989833,16.20277898398984,7.450378983989837,0.5468789839898345,-6.863821016010162
2019-10-14,-7.725062683670607,5.874337316329393,-14.059762683670606,23.29903731632939,3.3996373163293896,-14.211762683670605,-23.179262683670608,-10.131462683670605,35.272237316329395,-4.996462683670609,-17.890162683670606,-10.660362683670606,3.532137316329394,29.294937316329396,10.473737316329391,-8.089862683670606,23.095337316329392,-4.5520626836706075,17.75223731632939,-0.18516268367060418,-15.691862683670609,-16.647162683670608,-15.416062683670608,22.33433731632939,-10.197962683670603,12.69813731632939,10.875537316329394,19.362537316329394,14.348237316329394,-0.9601626836706072,-9.683062683670604
2019-10-15,-6.4298022936902575,9.934697706309741,-15.859102293690258,24.159197706309737,7.657897706309738,-5.379302293690257,-25.91470229369026,-6.646902293690259,33.46359770630975,-3.3047022936902617,-15.47320229369026,-9.88810229369026,0.9347977063097397,23.853197706309746,7.858397706309741,-9.274802293690255,18.48099770630974,-0.3024022936902604,12.98909770630974,3.7224977063097446,-9.381202293690261,-14.206002293690261,-18.80160229369026,16.530097706309736,-8.025302293690256,15.30559770630974,6.51659770630974,14.620797706309743,13.525397706309741,-3.410302293690259,-5.564702293690257
2019-10-16,-7.332121169335801,0.33797883066419754,-13.4932211693358,30.216278830664198,3.8988788306641955,-2.7610211693357987,-27.324421169335807,-0.3106211693358003,28.348778830664205,-1.2521211693358048,-9.3063211693358,-4.900721169335801,1.961978830664198,12.6137788306642,3.6859788306641974,-9.1726211693358,21.8801788306642,4.629978830664198,13.405478830664194,2.6447788306642006,-7.9088211693358,-12.549421169335805,-14.547321169335802,15.675678830664193,-9.986821169335801,12.463978830664196,-0.08932116933580314,11.483878830664203,16.7657788306642,0.9683788306641983,-4.123021169335798
2019-10-17,-4.627023210072053,9.428576789927941,-13.563023210072055,30.88887678992794,8.498376789927942,-0.6390232100720548,-25.77082321007206,-0.07392321007205482,24.46937678992795,1.0129767899279405,-13.667723210072056,-6.969123210072058,2.1788767899279424,1.1814767899279435,3.5017767899279426,-7.630323210072056,19.668976789927946,3.434476789927943,16.395576789927944,-1.2887232100720527,-8.328623210072056,-13.86992321007206,-15.856923210072058,9.490576789927943,-3.9858232100720534,13.575376789927942,-3.28332321007206,13.655976789927943,18.93387678992795,-1.018223210072057,-3.6019232100720537
