date,平安银行,万科A,神州高铁,中国宝安,南玻A,深科技,深圳能源,国药一致,大悦城,神州数码,中国天楹,中集集团,泛海控股,深天马A,华锦股份,中金岭南,深圳华强,中兴通讯,中国长城,华侨城A,海王生物,深圳机场,TCL科技,华数传媒,中联重科,常山北明,申万宏源,东方盛虹,美的集团,潍柴动力,许继电气,冀东水泥,金融街,东旭光电,渤海租赁,东阿阿胶,徐工机械,晨鸣纸业,丽珠集团,国际医学,柳工,广宇发展,云南白药,中天金融,航天发展,安道麦A,神州信息,万向钱潮,我爱我家,陕国投A,供销大集,泸州老窖,威孚高科,北部湾港,太阳能,古井贡酒,兴蓉环境,建投能源,中油资本,吉林敖东,长安汽车,天茂集团,攀钢钒钛,铜陵有色,仁和药业,格力电器,金科股份,长春高新,阳光城,上峰水泥,智度股份,视觉中国,远兴能源,中山公用,东北证券,国城矿业,宝新能源,恒逸石化,中信特钢,河钢股份,贝瑞基因,锦龙股份,韶钢松山,苏宁环球,美锦能源,京东方A,国元证券,燕京啤酒,泰禾集团,罗牛山,航发控制,普洛药业,国海证券,中色股份,中航飞机,广发证券,新兴铸管,长江证券,居然之家,北新建材,万年青,一汽解放,云铝股份,创维数字,太钢不锈,启迪环境,鲁西化工,五矿稀土,中信国安,五粮液,顺鑫农业,张裕A,新希望,天山股份,云南铜业,湖北能源,中鼎股份,双汇发展,鞍钢股份,新洋丰,海信家电,河钢资源,中粮科技,华菱钢铁,神火股份,四川双马,冀中能源,紫光股份,重药控股,中国重汽,东方能源,首钢股份,锡业股份,中南建设,华东医药,盈峰环境,蓝焰控股,中科三环,银泰黄金,浪潮信息,西山煤电,越秀金控,华工科技,九芝堂,诚志股份,新大陆,隆平高科,华润三九,招商港口,招商公路,招商蛇口,新和成,鸿达兴业,华邦健康,华兰生物,大族激光,传化智联,中航机电,亿帆医药,海特高新,苏宁易购,航天电器,分众传媒,思源电气,达安基因,苏泊尔,华帝股份,双鹭药业,华孚时尚,美年健康,宁波华翔,紫光国微,三花智控,中工国际,横店东磁,浙江交科,华峰氨纶,东华软件,国轩高科,沙钢股份,太阳纸业,中材科技,金螳螂,万丰奥威,江苏国泰,中泰化学,海翔药业,天康生物,三钢闽光,紫鑫药业,韵达股份,梦网集团,天邦股份,南极电商,露天煤业,中环股份,利欧股份,顺络电子,宁波银行,荣盛发展,北斗星通,广电运通,石基信息,湖南黄金,通富微电,正邦科技,游族网络,中航光电,纳思达,怡亚通,华天科技,劲嘉股份,武汉凡谷,二三四五,金风科技,海亮股份,南洋股份,三全食品,合力泰,鱼跃医疗,科大讯飞,塔牌集团,大华股份,恒邦股份,歌尔股份,九阳股份,通产丽星,滨江集团,大洋电机,联化科技,上海莱士,恩华药业,浙富控股,卫士通,东方雨虹,水晶光电,光迅科技,奥飞娱乐,信立泰,圣农发展,西部建设,洋河股份,东方园林,海大集团,海峡股份,格林美,顺丰控股,杰瑞股份,太极股份,北方华创,伟星新材,千方科技,新北洋,蓝帆医疗,合众思壮,东山精密,大北农,维信诺,航天彩虹,信邦制药,星网锐捷,海普瑞,和而泰,四维图新,多氟多,齐翔腾达,雅克科技,广联达,高德红外,海康威视,天虹股份,科伦药业,中粮资本,贵州百灵,兆驰股份,杭氧股份,万里扬,兴森科技,启明星辰,闰土股份,巨星科技,国星光电,欧菲光,益生股份,晶澳科技,赣锋锂业,珠江啤酒,沪电股份,海格通信,天齐锂业,申通快递,立讯精密,通鼎互联,荣盛石化,山西证券,搜于特,大康农业,协鑫集成,涪陵榨菜,老板电器,中顺洁柔,天顺风能,海联金汇,杰赛科技,三七互娱,洽洽食品,巨人网络,森马服饰,百润股份,索菲亚,海能达,瑞康医药,比亚迪,豪迈科技,海南瑞泽,金禾实业,领益智造,龙蟒佰利,世纪华通,以岭药业,中公教育,东方精工,完美世界,光启技术,安洁科技,跨境通,万润股份,卫星石化,海思科,首航高科,国盛金控,西部证券,东诚药业,宏大爆破,美亚光电,奥瑞金,新宝股份,天赐材料,牧原股份,一心堂,国信证券,葵花药业,万达电影,木林森,奥赛康,康弘药业,坚朗五金,第一创业,江阴银行,恩捷股份,崇达技术,富森美,凯莱英,裕同科技,张家港行,视源股份,周大生,大博医疗,佛燃能源,中新赛克,深南电路,德赛西威,盈趣科技,华西证券,郑州银行,鹏鼎控股,长城证券,新疆交建,新乳业,青岛银行,奥美医疗,青农商行,苏州银行,中国广核,特锐德,神州泰岳,乐普医疗,安科生物,豆神教育,华测检测,亿纬锂能,爱尔眼科,网宿科技,机器人,红日药业,同花顺,超图软件,新宙邦,数知科技,欧比特,鼎龙股份,蓝色光标,东方财富,南都电源,碧水源,三聚环保,当升科技,思创医惠,银之杰,长信科技,高新兴,顺网科技,长盈精密,东方日升,智飞生物,汇川技术,华策影视,信维通信,沃森生物,宋城演艺,汤臣倍健,东方国信,万达信息,汉得信息,华峰超纤,捷成股份,美亚柏科,欣旺达,易华录,北京君正,上海钢联,迪安诊断,光线传媒,卫宁健康,开山股份,华宇软件,阳光电源,国瓷材料,博雅生物,利亚德,中际旭创,掌趣科技,晶盛机电,旋极信息,凯利泰,润和软件,泰格医药,长亮科技,我武生物,绿盟科技,扬杰科技,赢时胜,东方通,光环新网,三环集团,芒果超媒,昆仑万维,蓝思科技,先导智能,创业慧康,深信服,赛微电子,赢合科技,全志科技,金科文化,迈克生物,景嘉微,胜宏科技,万孚生物,中科创达,温氏股份,新易盛,中船应急,健帆生物,贝达药业,精测电子,欧普康视,康泰生物,飞荣达,尚品宅配,寒锐钴业,亿联网络,普利制药,开立医疗,彩讯股份,圣邦股份,江丰电子,宇信科技,华大基因,朗新科技,光威复材,捷佳伟创,光弘科技,华宝股份,锐科激光,金力永磁,宁德时代,康龙化成,迈瑞医疗,立华股份,每日互动,迪普科技,新媒股份,拉卡拉,三角防务,中简科技,卓胜微,三只松鼠
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
