date,ST舍得,洋河股份,酒鬼酒,广誉远,*ST皇台,泸州老窖,水井坊,ST岩石,口子窖,古井贡酒,五粮液,青海春天,今世缘,迎驾贡酒,山西汾酒,顺鑫农业,青青稞酒,贵州茅台,金种子酒,老白干酒,伊力特
2019-09-02,,,,,,,,,,,,,,,,,,,,,
2019-09-03,,,,,,,,,,,,,,,,,,,,,
2019-09-04,,,,,,,,,,,,,,,,,,,,,
2019-09-05,,,,,,,,,,,,,,,,,,,,,
2019-09-06,,,,,,,,,,,,,,,,,,,,,
2019-09-09,,,,,,,,,,,,,,,,,,,,,
2019-09-10,,,,,,,,,,,,,,,,,,,,,
2019-09-11,,,,,,,,,,,,,,,,,,,,,
2019-09-12,,,,,,,,,,,,,,,,,,,,,
2019-09-16,,,,,,,,,,,,,,,,,,,,,
2019-09-17,,,,,,,,,,,,,,,,,,,,,
2019-09-18,,,,,,,,,,,,,,,,,,,,,
2019-09-19,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,,,,,,,,,,,,,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,,,,,,
2019-09-24,,,,,,,,,,,,,,,,,,,,,
2019-09-25,,,,,,,,,,,,,,,,,,,,,
2019-09-26,,,,,,,,,,,,,,,,,,,,,
2019-09-27,,,,,,,,,,,,,,,,,,,,,
2019-09-30,11.559251449658577,-4.983048550341421,35.36215144965857,0.29505144965857744,2.2019514496585773,-10.26054855034142,-2.3700485503414224,27.707151449658575,-14.35334855034142,-5.745248550341423,-6.054948550341421,-1.4024485503414237,11.163151449658578,18.408951449658577,3.5455514496585776,4.276151449658579,-2.7631485503414224,3.296551449658579,-4.101048550341421,3.0381514496585793,8.144351449658577
2019-10-08,9.293312990098086,-4.378887009901914,37.54581299009808,-5.374487009901915,0.6278129900980853,-9.507487009901913,-3.6448870099019146,25.083412990098086,-13.808087009901914,-7.428987009901916,-5.624287009901914,-5.520387009901916,12.049212990098084,15.02841299009809,-1.1033870099019147,0.8636129900980865,-4.476587009901914,3.4931129900980866,-4.843387009901913,2.5020129900980854,4.012012990098086
2019-10-09,7.496380456634988,-3.8138195433650117,34.96338045663498,-4.772019543365014,1.8081804566349873,-7.2520195433650105,1.0756804566349865,26.59538045663499,-11.964319543365013,-6.903719543365014,-4.8846195433650115,-3.091619543365014,9.751480456634987,16.171580456634995,-0.3914195433650134,0.7481804566349886,-2.818819543365013,2.8260804566349886,-1.8117195433650113,1.069380456634989,2.194080456634988
2019-10-10,6.253098856448673,-4.979301143551327,35.54559885644867,-6.524501143551327,-0.002101143551326512,-7.990501143551325,-1.6608011435513275,25.654098856448677,-13.781001143551327,-5.645101143551328,-5.062601143551326,-4.488401143551327,7.504298856448674,15.541098856448677,3.5760988564486733,-1.0868011435513254,-3.6913011435513265,3.0447988564486743,-2.232501143551326,-0.10350114355132534,0.9615988564486742
2019-10-11,4.503307080155196,-5.073192919844801,31.79870708015519,-7.683992919844803,-0.02999291984480279,-7.141592919844801,-3.3693929198448034,20.2994070801552,-14.004992919844803,-6.0130929198448015,-5.318592919844802,-4.6764929198448035,8.130607080155198,14.214607080155199,5.803807080155197,0.02280708015519839,-4.902092919844804,3.0259070801551977,-2.8503929198448015,-1.5782929198448001,-0.4166929198448015
2019-10-14,7.452748886125351,-4.665651113874649,25.201948886125347,-6.684851113874649,-0.20405111387464975,-6.829651113874649,-2.9722511138746506,20.128448886125355,-13.38815111387465,-6.03395111387465,-6.588851113874649,-3.02515111387465,8.331348886125351,12.443048886125352,5.31874888612535,-0.0366511138746487,-4.62135111387465,3.4435488861253507,-2.5490511138746488,-0.0679511138746497,0.8198488861253503
2019-10-15,6.537870896102461,-7.80282910389754,18.735570896102455,-11.569029103897542,-2.69732910389754,-7.729129103897539,-4.72132910389754,17.056870896102463,-14.066529103897539,-6.948929103897541,-7.10522910389754,-9.26942910389754,7.895470896102461,12.404270896102464,9.572270896102458,-1.595729103897539,-8.016429103897542,4.099870896102461,-3.9042291038975394,-1.7515291038975391,-2.630429103897539
2019-10-16,8.12504310562778,-6.08595689437222,13.446443105627777,-13.857256894372217,-0.9828568943722211,-8.266456894372219,-5.188256894372221,14.409843105627784,-13.850656894372218,-7.295556894372222,-5.919156894372221,-8.15675689437222,7.062743105627783,9.30584310562778,12.293243105627777,0.6051431056277803,-9.08785689437222,3.5435431056277795,-3.0603568943722204,-3.915356894372219,-5.635156894372221
2019-10-17,6.721120435523966,-7.161679564476035,13.828020435523964,-17.386279564476038,-6.531679564476036,-7.8669795644760345,-7.080479564476035,10.022620435523967,-16.220679564476033,-11.165579564476037,-5.515879564476034,-13.184779564476035,6.406120435523968,7.2149204355239664,11.153220435523963,-1.654379564476035,-12.182979564476033,3.9683204355239647,-6.464679564476036,-8.001379564476034,-8.196679564476034
2019-10-18,4.109878201084553,-6.026221798915447,10.360278201084544,-14.433021798915448,-2.98242179891545,-7.775821798915447,-4.266321798915449,9.729078201084551,-14.402221798915448,-11.04742179891545,-6.040621798915447,-8.688521798915446,5.006578201084553,4.714778201084549,8.445878201084554,-4.3382217989154475,-9.938321798915446,4.123978201084553,-6.360521798915447,-6.642221798915447,-7.892821798915448
2019-10-21,4.8834551741151815,-4.895344825884819,4.73935517411518,-14.27324482588482,-3.195044825884821,-6.72654482588482,0.83665517411518,5.165655174115181,-14.14934482588482,-9.32934482588482,-5.130244825884818,-12.53424482588482,6.257255174115182,7.8819551741151805,11.528455174115178,-5.129644825884819,-10.91604482588482,3.2913551741151803,-5.9682448258848195,-5.576644825884818,-8.11224482588482
2019-10-22,3.9181587588134903,-4.79464124118651,1.5686587588134862,-9.69344124118651,-3.640441241186511,-6.52794124118651,-0.6946412411865106,-5.29094124118651,-13.727641241186511,-11.060041241186513,-5.362341241186511,-8.944741241186511,6.474258758813492,7.688958758813488,11.469458758813488,-7.29734124118651,-9.098041241186511,3.4967587588134896,-4.578241241186509,-4.24334124118651,-6.083041241186512
2019-10-23,3.983100425806829,-2.110999574193171,-3.703399574193171,-3.801899574193169,1.7554004258068292,-5.134799574193171,-0.17299957419317147,-1.19859957419317,-13.281699574193167,-9.728399574193173,-4.32489957419317,-5.738299574193171,1.8355004258068304,1.2159004258068313,10.373500425806826,-10.487899574193172,-6.115199574193172,2.8598004258068297,-5.282599574193171,-2.1310995741931706,-4.512999574193172
2019-10-24,1.4005584030687996,-2.4070415969311982,-9.825641596931199,-3.8929415969311982,2.828858403068801,-5.076941596931199,-2.7314415969312,-1.8869415969311987,-14.372941596931199,-12.909241596931201,-4.970641596931199,-4.678841596931199,-1.5450415969311992,-3.0818415969311985,10.423258403068798,-12.4848415969312,-4.139241596931201,3.5272584030688003,-4.7152415969312,-3.019841596931199,-6.4296415969312
