date,科蓝软件,创业慧康,劲嘉股份,新开普,中国太保,高伟达,万向德农,承德露露,汇鸿集团,巨人网络,财通证券,捷顺科技,申通地铁,健康元,佳都科技,塞力斯,海泰发展,君正集团,浙大网新,航天信息,易联众,东港股份,七匹狼,卫宁健康,湘邮科技,永安行,凤凰传媒,绿地控股,新大陆,金字火腿,合肥城建,中国人寿,润和软件,新华保险,张江高科,南京银行,新华联,恒生电子,国金证券
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,2.325703109175652,13.63510310917566,-9.005996890824346,13.97580310917565,-4.143996890824344,10.222803109175656,-14.541696890824344,4.121503109175657,9.741603109175657,12.797503109175656,7.56490310917566,3.929103109175658,2.975403109175657,7.690103109175658,14.484103109175658,19.99330310917565,3.0286031091756573,6.044503109175658,4.677603109175659,2.1696031091756582,3.229803109175659,16.861303109175655,0.3495031091756571,12.588403109175658,-3.474896890824344,8.495003109175663,3.0462031091756563,10.173703109175657,-0.1546968908243438,5.3066031091756525,5.739603109175656,-1.0120968908243428,2.7979031091756577,4.791203109175658,2.0423031091756587,13.564503109175657,1.7550031091756608,3.7254031091756556,3.114303109175657
2019-10-08,-4.287690808460745,1.8825091915392584,-13.697990808460744,9.316609191539252,-2.5009908084607417,6.884809191539256,-3.4795908084607383,2.6696091915392572,5.337809191539257,8.677509191539258,4.226609191539259,0.7658091915392582,1.0315091915392578,9.730609191539259,10.908809191539255,16.58800919153925,0.4050091915392583,4.028509191539258,0.5848091915392581,-3.5517908084607424,-3.734490808460743,19.428109191539257,-1.4882908084607422,3.516209191539258,-7.394390808460742,9.362709191539262,-1.350690808460743,8.135309191539257,-5.136990808460743,2.864009191539256,2.8146091915392564,-1.2876908084607424,-3.9463908084607446,3.258009191539258,0.1841091915392591,14.738509191539256,2.458209191539261,-3.971490808460742,0.5239091915392579
2019-10-09,-2.7875974949078035,1.8149025050922014,-10.503497494907801,8.948402505092195,-1.2463974949077992,8.175402505092201,-4.057797494907798,2.6009025050922,7.1274025050922,5.169302505092198,3.2717025050922,1.5509025050922,0.8405025050922007,8.477102505092201,2.0808025050921994,12.68520250509219,-0.43599749490779904,3.354102505092201,-0.981597494907799,-2.023897494907799,-2.8861974949077998,19.245702505092197,-0.7768974949077994,2.2042025050922005,-5.683397494907799,9.186302505092208,-5.3165974949078,9.4748025050922,-4.7255974949078,2.5323025050921983,2.6269025050921972,-1.0952974949077996,-3.1662974949077984,2.1658025050922007,-0.2679974949077982,13.7025025050922,1.9025025050922035,-3.5694974949077984,1.0923025050921997
2019-10-10,-5.0256619776487605,4.988438022351244,-9.453761977648758,15.221138022351237,-2.367861977648757,10.879538022351243,-4.779761977648757,4.435538022351243,7.105938022351242,3.859038022351242,3.6483380223512434,-1.8790619776487554,2.7726380223512432,8.146138022351245,2.9930380223512425,12.803738022351236,0.3867380223512439,2.809138022351244,0.966338022351243,-0.5618619776487572,-2.073461977648756,19.12593802235124,-0.14626197764875676,4.288038022351243,-3.6683619776487557,11.409938022351243,-5.658261977648757,6.581538022351242,-2.676161977648757,3.5090380223512407,1.1605380223512403,-1.0157619776487565,-4.346561977648758,2.3464380223512435,1.2511380223512447,10.963738022351242,12.540738022351247,-1.1939619776487564,0.9781380223512434
2019-10-11,-11.479264549682265,4.73263545031774,-10.887764549682263,16.951835450317738,-1.83796454968226,9.25863545031774,-7.584664549682261,3.1261354503177397,6.695835450317739,3.7767354503177417,2.4277354503177406,-1.3050645496822595,2.7838354503177407,6.884235450317744,-2.0896645496822606,10.856335450317735,-0.46406454968225996,1.372835450317741,-0.29376454968225985,-3.82316454968226,-3.4692645496822596,18.310335450317737,-0.6049645496822599,4.40693545031774,-3.28696454968226,8.725835450317739,-3.61026454968226,8.126035450317739,-4.246964549682261,11.988435450317738,0.7316354503177378,-0.5956645496822598,-9.41956454968226,1.3690354503177402,-0.6153645496822584,13.15693545031774,16.949735450317743,-2.2392645496822596,-0.46126454968226077
2019-10-14,-10.078455928586529,7.487444071413475,-7.681155928586527,17.420244071413475,-3.0802559285865243,11.788944071413475,-5.4348559285865266,2.706844071413475,6.658344071413475,2.8343440714134744,2.8642440714134754,-1.127255928586524,2.164744071413475,6.384244071413474,-1.4909559285865264,10.330144071413471,-0.06935592858652526,-1.2091559285865243,-0.0758559285865259,-4.355755928586525,-4.013155928586526,15.779144071413473,-0.7211559285865254,3.6452440714134746,-5.9802559285865255,8.389844071413476,3.777344071413475,5.784444071413475,-6.259855928586527,20.04654407141347,3.4531440714134716,0.2220440714134746,-9.708355928586526,0.25864407141347456,-0.8838559285865242,11.949544071413474,16.72164407141348,-3.591555928586525,-0.8745559285865254
